Local Authority,Business Name,Business Type,Address,Postcode,Latitude,Longitude,Hygiene Score,Structural Score,Hygiene Rating,Deprivation Score,Deprivation Rank
Bournemouth Christchurch and Poole,Hotel Miramar,Hotel/bed & breakfast/guest house,,BH1 3AL,50.718383,-1.868591,0,5,5,17.513,14728.21
Bournemouth Christchurch and Poole,Travelodge Bournemouth Seafront,Hotel/bed & breakfast/guest house,Travelodge,BH2 5EG,,,0,5,5,17.513,14728.21
Bournemouth Christchurch and Poole,Travelodge Poole,Hotel/bed & breakfast/guest house,Travelodge,BH15 1AE,,,0,5,5,17.513,14728.21
Bournemouth Christchurch and Poole,Holiday Inn Express,Hotel/bed & breakfast/guest house,,BH15 1RZ,50.71580005,-1.9750421,0,5,5,17.513,14728.21
Bournemouth Christchurch and Poole,Hotel Collingwood,Hotel/bed & breakfast/guest house,,BH2 5DF,50.716967,-1.881952,0,5,5,17.513,14728.21
Bournemouth Christchurch and Poole,Royal Bath Hotel,Hotel/bed & breakfast/guest house,,BH1 2EW,50.717551,-1.872616,0,5,5,17.513,14728.21
Bracknell Forest,Crumbs and Coffee/Taprob Sri Lankan Cuisine,Mobile caterer,,,,,0,5,5,10.084,8640.96
Bracknell Forest,The Spud Wagon,Mobile caterer,Market Inn Station Road,RG12 1HY,51.413539,-0.7515738,0,5,5,10.084,8640.96
Brighton and Hove,Munch Box,Mobile caterer,,,,,0,5,5,20.266,16380.88
Brighton and Hove,We Got Soul,Mobile caterer,Street Record (Blatchington Road Adjacent),BN3 3RF,,,0,5,5,20.266,16380.88
Brighton and Hove,Holy Pepperoni,Mobile caterer,Stanmer House,BN1 7JT,50.8457532,-0.1334415,0,5,5,20.266,16380.88
Brighton and Hove,Sorella Pizza Co,Mobile caterer,,,,,0,5,5,20.266,16380.88
Brighton and Hove,Trailer Trashed,Mobile caterer,,,,,0,5,5,20.266,16380.88
Buckinghamshire,Caffe Nero,Restaurant/Cafe/Canteen,53 Packhorse Road,SL9 8PE,51.587767,-0.554172,5,5,5,11.921,10315.59
Buckinghamshire,Salvation Army Citadel,Restaurant/Cafe/Canteen,44 Frogmoor,HP13 5DG,51.63161087,-0.752373993,5,5,5,11.921,10315.59
Buckinghamshire,Hazlemere Free Methodist Church,Restaurant/Cafe/Canteen,43 Penn Road,HP15 7LS,51.6509819,-0.709344983,5,5,5,11.921,10315.59
Buckinghamshire,Tuckin Restaurant,Restaurant/Cafe/Canteen,13 - 15 Frogmoor,HP13 5DQ,51.63151,-0.753085,5,5,5,11.921,10315.59
Buckinghamshire,St Andrews Church,Restaurant/Cafe/Canteen,Hatters Lane,HP13 7NJ,51.62622,-0.722732,5,5,5,11.921,10315.59
Buckinghamshire,Wycombe Leisure Centre,Restaurant/Cafe/Canteen,Handy Cross,HP11 1UP,51.61415482,-0.761564016,5,5,5,11.921,10315.59
Buckinghamshire,Poppins,Restaurant/Cafe/Canteen,3 High Street,HP5 1BG,51.704398,-0.612862,5,5,5,11.921,10315.59
Buckinghamshire,Fego Caffe,Restaurant/Cafe/Canteen,12G Packhorse Road,SL9 7QE,51.586809,-0.55452,5,5,5,11.921,10315.59
Buckinghamshire,Buckinghamshire Mind High Wycombe Office,Restaurant/Cafe/Canteen,260 Desborough Road,HP11 2QR,51.63235092,-0.763710976,5,5,5,11.921,10315.59
Buckinghamshire,Wimpy,Restaurant/Cafe/Canteen,19 - 21 White Hart Street,HP11 2HL,51.629794,-0.752366,5,5,5,11.921,10315.59
Buckinghamshire,Heidrun,Restaurant/Cafe/Canteen,14 Pauls Row,HP11 2HQ,51.628752,-0.751657,5,5,5,11.921,10315.59
Buckinghamshire,Master Chef,Restaurant/Cafe/Canteen,11 - 15 Sycamore Road,HP6 5EQ,51.677756,-0.60682,5,5,5,11.921,10315.59
Buckinghamshire,The Grocer,Restaurant/Cafe/Canteen,2 Whielden Street,HP7 0HT,51.6661229,-0.6158474,5,5,5,11.921,10315.59
Buckinghamshire,Roots Coffee Food,Restaurant/Cafe/Canteen,22 High Street,HP5 1EP,51.70512,-0.613086,5,5,5,11.921,10315.59
Buckinghamshire,Eleven Amersham,Restaurant/Cafe/Canteen,11 Hill Avenue,HP6 5BD,51.6748537,-0.6074092,5,5,5,11.921,10315.59
Buckinghamshire,Wingrave Parish Church of St Peter,Restaurant/Cafe/Canteen,Church Street,HP22 4PE,51.862252,-0.740443,5,5,5,11.921,10315.59
Buckinghamshire,A Little Street Kitchen,Restaurant/Cafe/Canteen,97 Sycamore Road,HP6 5EJ,51.678623,-0.605607,5,5,5,11.921,10315.59
Buckinghamshire,Hings Kitchen,Restaurant/Cafe/Canteen,16 Oak End Way,SL9 8BR,51.588734,-0.550879,5,5,5,11.921,10315.59
Buckinghamshire,The Square (BUCKS) Ltd,Restaurant/Cafe/Canteen,Pond Approach,HP16 6RH,51.66466325,-0.694916587,5,5,5,11.921,10315.59
Buckinghamshire,AL Kebabish Aylesbury Ltd,Restaurant/Cafe/Canteen,179 Cambridge Street,HP20 1BQ,51.820029,-0.806924,5,5,5,11.921,10315.59
Buckinghamshire,Chaiiwala High Wycombe,Restaurant/Cafe/Canteen,30 White Hart Street,HP11 2HL,51.6301571,-0.7532778,5,5,5,11.921,10315.59
Buckinghamshire,The Pantry at 51,Restaurant/Cafe/Canteen,51 High Street,HP16 9EJ,51.69955826,-0.734546006,5,5,5,11.921,10315.59
Buckinghamshire,Louis',Restaurant/Cafe/Canteen,53 - 54 Nelson Street,MK18 1BT,51.998473,-0.989903,5,5,5,11.921,10315.59
Buckinghamshire,Bon Appetit - A4421,Restaurant/Cafe/Canteen,EKFB - A4421,MK18 4LA,,,5,5,5,11.921,10315.59
Buckinghamshire,Haldi Restaurant,Restaurant/Cafe/Canteen,80 Marsworth Road,LU7 9AS,51.83473,-0.635682,5,5,5,11.921,10315.59
Buckinghamshire,Everyman Cinema,Restaurant/Cafe/Canteen,Ethorpe Crescent,SL9 8PN,51.58886,-0.553098,5,5,5,11.921,10315.59
Buckinghamshire,Tiger Garden,Restaurant/Cafe/Canteen,41 West Street,SL7 2LS,51.57098007,-0.778029978,5,5,5,11.921,10315.59
Buckinghamshire,Ambers Of Amersham,Restaurant/Cafe/Canteen,49 London Road West,HP7 9DA,51.664586,-0.607036,5,5,5,11.921,10315.59
Buckinghamshire,Fieldmouse,Restaurant/Cafe/Canteen,8 Duke Street,HP27 0AT,51.724977,-0.832578,5,5,5,11.921,10315.59
Buckinghamshire,Artigiani Del Cibo,Restaurant/Cafe/Canteen,59 - 61 High Street,SL1 7JX,51.534023,-0.658747,5,5,5,11.921,10315.59
Buckinghamshire,Brisket Daddy,Restaurant/Cafe/Canteen,75 Buckingham Street,HP20 2NF,51.81979,-0.815273,5,5,5,11.921,10315.59
Buckinghamshire,The Artichoke,Restaurant/Cafe/Canteen,9 Market Square,HP7 0DF,51.666565,-0.616244,5,5,5,11.921,10315.59
Buckinghamshire,Denis Pizza Ltd,Restaurant/Cafe/Canteen,1 Horn Street,MK18 3AQ,51.940823,-0.882528,5,5,5,11.921,10315.59
Buckinghamshire,OpportuniTEA @ Holmer Green Sports Association,Restaurant/Cafe/Canteen,87 Watchet Lane,HP15 6UF,51.6667421,-0.7039769,5,5,5,11.921,10315.59
